type;label;cond;id;length;Lperf;hydr;nP;nM
mac;drag-4;l;1;7.20;NA;1;3;0
mac;drag-4;l;3;12.50;NA;1;14;0
mac;drag-4;l;4;14.00;NA;1;15;3
mac;drag-4;l;6;15.20;NA;1;19;6
mac;drag-4;l;7;13.30;NA;1;12;3
mac;drag-4;l;8;6.00;NA;1;2;0
mac;drag-4;l;9;15.00;NA;1;24;4
mac;drag-4;l;10;3.50;NA;1;2;0
mac;drag-4;l;23;6.60;NA;1;2;0
mac;drag-4;l;26;5.50;NA;1;3;0
mac;drag-4;l;27;2.70;NA;1;2;0
mac;drag-4;l;28;7.00;NA;1;4;0
mac;drag-4;l;30;4.80;NA;1;2;0
mac;drag-4;l;31;11.50;NA;1;5;0
mac;drag-4;l;34;5.80;NA;1;2;0
mac;drag-4;l;35;7.10;NA;1;4;0
mac;drag-4;l;36;3.20;NA;1;1;0
mac;drag-4;l;37;3.40;NA;1;5;0
mac;drag-4;l;38;4.20;NA;1;2;0
mac;drag-4;l;39;5.10;NA;1;3;0
mac;drag-4;l;40;15.20;NA;1;16;6
mac;drag-4;l;41;14.80;NA;1;18;2
mac;drag-4;l;42;15.00;NA;1;24;4
mac;drag-4;l;43;13.40;NA;1;18;4
mac;drag-4;l;44;14.60;NA;1;15;6
mac;drag-4;l;45;14.40;NA;1;11;2
mac;drag-4;l;46;12.30;NA;1;7;0
mac;drag-4;l;47;9.80;NA;1;9;0
mac;drag-4;l;48;10.10;NA;1;8;0
mac;drag-4;l;49;13.90;NA;1;12;5
mac;drag-4;l;50;11.80;NA;1;8;4
mac;drag-4;l;51;10.00;NA;1;7;0
mac;drag-4;l;52;8.60;NA;1;3;0
mac;drag-4;l;53;8.90;NA;1;5;0
mac;drag-4;l;54;9.10;NA;1;4;0
mac;drag-4;l;55;8.40;NA;1;5;0
mac;drag-4;l;56;8.00;NA;1;4;0
mac;drag-4;l;58;7.10;NA;1;2;0
mac;drag-4;l;61;8.30;NA;1;3;0
mac;drag-4;l;62;6.90;NA;1;4;0
mac;drag-4;l;70;5.40;NA;1;4;0
mac;drag-4;l;71;7.00;NA;1;0;0
mac;drag-4;l;73;5.10;NA;1;1;0
mac;drag-4;l;74;7.20;NA;1;5;0
mac;drag-4;l;80;4.30;NA;1;1;0
mac;drag-4;l;84;4.60;NA;1;1;0
mac;drag-4;l;103;2.90;NA;1;2;0
mac;drag-4;l;104;4.00;NA;1;3;0
mac;drag-4;l;108;3.50;NA;1;2;0
mac;drag-4;l;109;4.30;NA;1;4;0
mac;drag-4;l;111;4.60;NA;1;2;0
mac;drag-4;l;118;3.50;NA;1;0;0
mac;drag-4;l;122;4.10;NA;1;1;0
mac;drag-2;l;129;16.00;NA;1;8;4
mac;drag-2;l;130;17.40;NA;1;3;0
mac;drag-2;l;131;13.50;NA;1;5;2
mac;drag-2;l;132;14.70;NA;1;0;0
mac;drag-2;l;133;17.50;NA;1;12;6
mac;drag-2;l;134;14.20;NA;1;9;2
mac;drag-2;l;135;13.30;NA;1;4;0
mac;drag-2;l;136;16.70;NA;1;12;1
mac;drag-2;l;137;16.90;NA;1;13;2
mac;drag-2;l;138;13.00;NA;1;1;0
mac;drag-2;l;139;5.60;NA;1;3;0
mac;drag-2;l;142;14.60;NA;1;2;1
mac;drag-2;l;143;17.00;NA;1;14;4
mac;drag-2;l;144;17.00;NA;1;6;2
mac;drag-2;l;145;7.00;NA;1;5;0
mac;drag-2;l;147;3.50;NA;1;2;0
mac;drag-2;l;148;11.00;NA;1;4;1
mac;drag-2;l;154;4.80;NA;1;1;0
mac;drag-2;l;164;11.50;NA;1;2;0
mac;drag-3;l;165;5.60;NA;1;2;0
mac;drag-10;l;168;16.50;NA;1;14;3
mac;drag-10;l;169;18.30;NA;1;16;4
mac;drag-10;l;170;19.00;NA;1;16;5
mac;drag-10;l;171;15.00;NA;1;14;4
mac;drag-10;l;172;16.80;NA;1;23;6
mac;drag-10;l;173;17.50;NA;1;9;4
mac;drag-10;l;174;17.30;NA;1;27;4
mac;drag-10;l;176;13.90;NA;1;16;3
mac;drag-10;l;177;17.00;NA;1;10;4
mac;drag-10;l;178;16.80;NA;1;19;2
mac;drag-10;l;179;18.60;NA;1;6;3
mac;drag-10;l;180;13.80;NA;1;11;2
mac;drag-10;l;181;16.70;NA;1;22;8
mac;drag-10;l;182;16.80;NA;1;14;6
mac;drag-10;l;183;15.50;NA;1;21;5
mac;drag-10;l;184;14.20;NA;1;7;1
mac;drag-10;l;185;14.50;NA;1;13;8
mac;drag-10;l;186;11.70;NA;1;12;2
mac;drag-10;l;187;13.20;NA;1;10;0
mac;drag-10;l;188;12.60;NA;1;9;2
mac;drag-10;l;189;10.90;NA;1;10;0
mac;drag-10;l;190;12.00;NA;1;6;4
mac;drag-10;l;191;9.70;NA;1;4;0
mac;drag-10;l;192;9.50;NA;1;3;3
mac;drag-10;l;193;9.20;NA;1;5;0
mac;drag-10;l;194;9.30;NA;1;4;0
mac;drag-10;l;195;6.70;NA;1;5;0
mac;drag-10;l;196;9.70;NA;1;7;0
mac;drag-10;l;197;8.10;NA;1;8;0
mac;drag-10;l;198;10.40;NA;1;8;0
mac;drag-10;l;199;8.60;NA;1;3;0
mac;drag-10;l;200;8.10;NA;1;4;0
mac;drag-10;l;201;9.00;NA;1;9;0
mac;drag-10;l;202;7.60;NA;1;4;0
mac;drag-10;l;203;9.00;NA;1;7;0
mac;drag-10;l;204;7.60;NA;1;3;0
mac;drag-10;l;205;7.70;NA;1;3;0
mac;drag-10;l;206;5.20;NA;1;2;0
mac;drag-10;l;207;6.30;NA;1;3;0
mac;drag-10;l;208;6.00;NA;1;3;0
mac;drag-10;l;209;7.10;NA;1;4;0
mac;drag-10;l;210;6.60;NA;1;5;0
mac;drag-10;l;211;4.60;NA;1;1;0
mac;drag-10;l;212;4.40;NA;1;0;0
mac;drag-10;l;215;4.70;NA;1;5;0
mac;drag-10;l;216;5.30;NA;1;6;0
mac;drag-10;l;217;6.20;NA;1;1;0
mac;drag-1;l;223;5.20;NA;1;3;0
mac;drag-1;l;224;4.70;NA;1;1;0
mac;drag-1;l;225;11.70;NA;1;5;0
mac;drag-1;l;226;12.10;NA;1;6;0
mac;drag-1;l;227;11.00;NA;1;5;0
mac;drag-1;l;229;5.10;NA;1;2;0
mac;drag-1;l;232;8.70;NA;1;6;0
port;drag-4;l;237;14.50;NA;1;12;NA
port;drag-4;l;238;14.90;NA;1;8;NA
port;drag-4;l;239;14.50;NA;1;9;NA
port;drag-4;l;240;15.70;NA;1;13;NA
port;drag-4;l;242;15.00;NA;1;8;NA
port;drag-4;l;244;14.60;NA;1;7;NA
port;drag-4;l;246;14.80;NA;1;14;NA
port;drag-4;l;247;5.70;NA;1;5;NA
port;drag-4;l;248;13.30;NA;1;15;NA
port;drag-4;l;249;14.60;NA;1;9;NA
port;drag-4;l;251;14.00;NA;1;9;NA
port;drag-4;l;252;13.90;NA;1;5;NA
port;drag-4;l;256;14.80;NA;1;16;NA
port;drag-4;l;257;13.20;NA;1;23;NA
port;drag-4;l;258;15.10;NA;1;11;NA
port;drag-4;l;260;14.80;NA;1;10;NA
port;drag-4;l;261;16.00;NA;1;16;NA
port;drag-4;l;262;13.70;NA;1;23;NA
port;drag-4;l;265;12.60;NA;1;10;NA
port;drag-4;l;267;13.90;NA;1;6;NA
port;drag-4;l;269;13.50;NA;1;7;NA
port;drag-4;l;270;13.60;NA;1;8;NA
port;drag-4;l;271;12.30;NA;1;13;NA
port;drag-4;l;272;9.10;NA;1;8;NA
port;drag-4;l;273;8.50;NA;1;4;NA
port;drag-4;l;275;4.90;NA;1;3;NA
port;drag-4;l;276;13.90;NA;1;0;NA
port;drag-10;l;300;17.20;NA;1;22;NA
port;drag-10;l;301;14.90;NA;1;11;NA
port;drag-10;l;302;15.50;NA;1;27;NA
port;drag-10;l;303;15.00;NA;1;26;NA
port;drag-10;l;304;16.70;NA;1;23;NA
port;drag-10;l;305;14.80;NA;1;5;NA
port;drag-10;l;306;12.90;NA;1;30;NA
port;drag-10;l;307;15.10;NA;1;17;NA
port;drag-10;l;308;16.40;NA;1;11;NA
port;drag-10;l;310;13.50;NA;1;24;NA
port;drag-10;l;311;14.90;NA;1;20;NA
port;drag-10;l;313;9.60;NA;1;23;NA
port;drag-10;l;314;8.50;NA;1;17;NA
port;drag-10;l;315;9.80;NA;1;8;NA
port;drag-10;l;316;12.50;NA;1;24;NA
port;drag-10;l;321;12.30;NA;1;3;NA
port;drag-10;l;323;10.40;NA;1;8;NA
port;drag-10;l;324;7.10;NA;1;13;NA
port;drag-10;l;325;9.10;NA;1;4;NA
